date,cpi_value,year,month,mom_change,yoy_change,high_inflation_flag
2000-01-01,35.73704,2000,1,,,False
2000-02-01,35.65413,2000,2,-0.23,,False
2000-03-01,35.98579,2000,3,0.93,,False
2000-04-01,36.31746,2000,4,0.92,,False
2000-05-01,36.48329,2000,5,0.46,,False
2000-06-01,36.64912,2000,6,0.45,,False
2000-07-01,36.89788,2000,7,0.68,,False
2000-08-01,36.73204,2000,8,-0.45,,False
2000-09-01,36.81496,2000,9,0.23,,False
2000-10-01,37.22954,2000,10,1.13,,False
2000-11-01,37.31246,2000,11,0.22,,False
2000-12-01,36.98079,2000,12,-0.89,,False
2001-01-01,36.89788,2001,1,-0.22,3.25,False
2001-02-01,36.73204,2001,2,-0.45,3.02,False
2001-03-01,36.89788,2001,3,0.45,2.53,False
2001-04-01,37.14663,2001,4,0.67,2.28,False
2001-05-01,37.39537,2001,5,0.67,2.5,False
2001-06-01,37.89288,2001,6,1.33,3.39,False
2001-07-01,38.39037,2001,7,1.31,4.04,False
2001-08-01,38.63912,2001,8,0.65,5.19,False
2001-09-01,38.55621,2001,9,-0.21,4.73,False
2001-10-01,38.80495,2001,10,0.65,4.23,False
2001-11-01,39.13662,2001,11,0.85,4.89,False
2001-12-01,38.88787,2001,12,-0.64,5.16,False
2002-01-01,38.72204,2002,1,-0.43,4.94,False
2002-02-01,38.63912,2002,2,-0.21,5.19,False
2002-03-01,38.80495,2002,3,0.43,5.17,False
2002-04-01,38.88787,2002,4,0.21,4.69,False
2002-05-01,39.13662,2002,5,0.64,4.66,False
2002-06-01,39.46829,2002,6,0.85,4.16,False
2002-07-01,39.88287,2002,7,1.05,3.89,False
2002-08-01,40.13162,2002,8,0.62,3.86,False
2002-09-01,40.21454,2002,9,0.21,4.3,False
2002-10-01,40.38037,2002,10,0.41,4.06,False
2002-11-01,40.5462,2002,11,0.41,3.6,False
2002-12-01,40.13162,2002,12,-1.02,3.2,False
2003-01-01,40.04871,2003,1,-0.21,3.43,False
2003-02-01,40.13162,2003,2,0.21,3.86,False
2003-03-01,40.38037,2003,3,0.62,4.06,False
2003-04-01,40.87787,2003,4,1.23,5.12,False
2003-05-01,40.96079,2003,5,0.2,4.66,False
2003-06-01,41.20954,2003,6,0.61,4.41,False
2003-07-01,41.5412,2003,7,0.8,4.16,False
2003-08-01,41.37537,2003,8,-0.4,3.1,False
2003-09-01,41.37537,2003,9,0.0,2.89,False
2003-10-01,41.70704,2003,10,0.8,3.29,False
2003-11-01,41.78995,2003,11,0.2,3.07,False
2003-12-01,41.62412,2003,12,-0.4,3.72,False
2004-01-01,41.78995,2004,1,0.4,4.35,False
2004-02-01,41.78995,2004,2,0.0,4.13,False
2004-03-01,41.78995,2004,3,0.0,3.49,False
2004-04-01,41.78995,2004,4,0.0,2.23,False
2004-05-01,42.12162,2004,5,0.79,2.83,False
2004-06-01,42.45329,2004,6,0.79,3.02,False
2004-07-01,42.86787,2004,7,0.98,3.19,False
2004-08-01,43.28245,2004,8,0.97,4.61,False
2004-09-01,43.36537,2004,9,0.19,4.81,False
2004-10-01,43.61412,2004,10,0.57,4.57,False
2004-11-01,43.5312,2004,11,-0.19,4.17,False
2004-12-01,43.19954,2004,12,-0.76,3.78,False
2005-01-01,43.61412,2005,1,0.96,4.37,False
2005-02-01,43.5312,2005,2,-0.19,4.17,False
2005-03-01,43.5312,2005,3,0.0,4.17,False
2005-04-01,43.86287,2005,4,0.76,4.96,False
2005-05-01,43.69703,2005,5,-0.38,3.74,False
2005-06-01,43.86287,2005,6,0.38,3.32,False
2005-07-01,44.60912,2005,7,1.7,4.06,False
2005-08-01,44.77495,2005,8,0.37,3.45,False
2005-09-01,44.94078,2005,9,0.37,3.63,False
2005-10-01,45.43828,2005,10,1.11,4.18,False
2005-11-01,45.85286,2005,11,0.91,5.33,False
2005-12-01,45.60411,2005,12,-0.54,5.57,False
2006-01-01,45.5212,2006,1,-0.18,4.37,False
2006-02-01,45.5212,2006,2,0.0,4.57,False
2006-03-01,45.5212,2006,3,0.0,4.57,False
2006-04-01,45.90373,2006,4,0.84,4.65,False
2006-05-01,46.28626,2006,5,0.83,5.93,False
2006-06-01,47.05132,2006,6,1.65,7.27,True
2006-07-01,47.43385,2006,7,0.81,6.33,True
2006-08-01,47.43385,2006,8,0.0,5.94,False
2006-09-01,47.81638,2006,9,0.81,6.4,True
2006-10-01,48.58145,2006,10,1.6,6.92,True
2006-11-01,48.58145,2006,11,0.0,5.95,False
2006-12-01,48.58145,2006,12,0.0,6.53,True
2007-01-01,48.58145,2007,1,0.0,6.72,True
2007-02-01,48.96398,2007,2,0.79,7.56,True
2007-03-01,48.58145,2007,3,-0.78,6.72,True
2007-04-01,48.96398,2007,4,0.79,6.67,True
2007-05-01,49.34651,2007,5,0.78,6.61,True
2007-06-01,49.72904,2007,6,0.78,5.69,False
2007-07-01,50.4941,2007,7,1.54,6.45,True
2007-08-01,50.87663,2007,8,0.76,7.26,True
2007-09-01,50.87663,2007,9,0.0,6.4,True
2007-10-01,51.25916,2007,10,0.75,5.51,False
2007-11-01,51.25916,2007,11,0.0,5.51,False
2007-12-01,51.25916,2007,12,0.0,5.51,False
2008-01-01,51.25916,2008,1,0.0,5.51,False
2008-02-01,51.6417,2008,2,0.75,5.47,False
2008-03-01,52.40676,2008,3,1.48,7.87,True
2008-04-01,52.78929,2008,4,0.73,7.81,True
2008-05-01,53.17182,2008,5,0.72,7.75,True
2008-06-01,53.55435,2008,6,0.72,7.69,True
2008-07-01,54.70195,2008,7,2.14,8.33,True
2008-08-01,55.46701,2008,8,1.4,9.02,True
2008-09-01,55.84954,2008,9,0.69,9.77,True
2008-10-01,56.6146,2008,10,1.37,10.45,True
2008-11-01,56.6146,2008,11,0.0,10.45,True
2008-12-01,56.23206999999999,2008,12,-0.68,9.7,True
2009-01-01,56.6146,2009,1,0.68,10.45,True
2009-02-01,56.6146,2009,2,0.0,9.63,True
2009-03-01,56.6146,2009,3,0.0,8.03,True
2009-04-01,57.37966,2009,4,1.35,8.7,True
2009-05-01,57.76219,2009,5,0.67,8.63,True
2009-06-01,58.52726,2009,6,1.32,9.29,True
2009-07-01,61.20497,2009,7,4.58,11.89,True
2009-08-01,61.97004,2009,8,1.25,11.72,True
2009-09-01,62.35256999999999,2009,9,0.62,11.64,True
2009-10-01,63.117630000000005,2009,10,1.23,11.49,True
2009-11-01,64.26522,2009,11,1.82,13.51,True
2009-12-01,64.64775,2009,12,0.6,14.97,True
2010-01-01,65.79535,2010,1,1.78,16.22,True
2010-02-01,65.03028,2010,2,-1.16,14.86,True
2010-03-01,65.03028,2010,3,0.0,14.86,True
2010-04-01,65.03028,2010,4,0.0,13.33,True
2010-05-01,65.79535,2010,5,1.18,13.91,True
2010-06-01,66.56041,2010,6,1.16,13.73,True
2010-07-01,68.09053,2010,7,2.3,11.25,True
2010-08-01,68.09053,2010,8,0.0,9.88,True
2010-09-01,68.47306,2010,9,0.56,9.82,True
2010-10-01,69.23813,2010,10,1.12,9.7,True
2010-11-01,69.62066,2010,11,0.55,8.33,True
2010-12-01,70.76825,2010,12,1.65,9.47,True
2011-01-01,71.91584,2011,1,1.62,9.3,True
2011-02-01,70.76825,2011,2,-1.6,8.82,True
2011-03-01,70.76825,2011,3,0.0,8.82,True
2011-04-01,71.15078000000001,2011,4,0.54,9.41,True
2011-05-01,71.53331,2011,5,0.54,8.72,True
2011-06-01,72.29838000000002,2011,6,1.07,8.62,True
2011-07-01,73.8285,2011,7,2.12,8.43,True
2011-08-01,74.21103000000002,2011,8,0.52,8.99,True
2011-09-01,75.35862,2011,9,1.55,10.06,True
2011-10-01,75.74115999999998,2011,10,0.51,9.39,True
2011-11-01,76.12368999999998,2011,11,0.51,9.34,True
2011-12-01,75.35862,2011,12,-1.01,6.49,True
2012-01-01,75.74115999999998,2012,1,0.51,5.32,False
2012-02-01,76.12368999999998,2012,2,0.51,7.57,True
2012-03-01,76.88875,2012,3,1.01,8.65,True
2012-04-01,78.41887,2012,4,1.99,10.22,True
2012-05-01,78.8014,2012,5,0.49,10.16,True
2012-06-01,79.56646999999998,2012,6,0.97,10.05,True
2012-07-01,81.09659,2012,7,1.92,9.84,True
2012-08-01,81.86164999999998,2012,8,0.94,10.31,True
2012-09-01,82.24418,2012,9,0.47,9.14,True
2012-10-01,83.00924999999998,2012,10,0.93,9.6,True
2012-11-01,83.39178000000001,2012,11,0.46,9.55,True
2012-12-01,83.77431,2012,12,0.46,11.17,True
2013-01-01,84.53936999999999,2013,1,0.91,11.62,True
2013-02-01,85.30443000000001,2013,2,0.9,12.06,True
2013-03-01,85.68696,2013,3,0.45,11.44,True
2013-04-01,86.45203000000002,2013,4,0.89,10.24,True
2013-05-01,87.21709,2013,5,0.88,10.68,True
2013-06-01,88.36468,2013,6,1.32,11.06,True
2013-07-01,89.89480999999996,2013,7,1.73,10.85,True
2013-08-01,90.65987,2013,8,0.85,10.75,True
2013-09-01,91.0424,2013,9,0.42,10.7,True
2013-10-01,92.18999,2013,10,1.26,11.06,True
2013-11-01,92.95506,2013,11,0.83,11.47,True
2013-12-01,91.42493,2013,12,-1.65,9.13,True
2014-01-01,90.65987,2014,1,-0.84,7.24,True
2014-02-01,91.0424,2014,2,0.42,6.73,True
2014-03-01,91.42493,2014,3,0.42,6.7,True
2014-04-01,92.57253,2014,4,1.26,7.08,True
2014-05-01,93.33759,2014,5,0.83,7.02,True
2014-06-01,94.10265,2014,6,0.82,6.49,True
2014-07-01,96.39783000000001,2014,7,2.44,7.23,True
2014-08-01,96.78036,2014,8,0.4,6.75,True
2014-09-01,96.78036,2014,9,0.0,6.3,True
2014-10-01,96.78036,2014,10,0.0,4.98,False
2014-11-01,96.78036,2014,11,0.0,4.12,False
2014-12-01,96.78036,2014,12,0.0,5.86,False
2015-01-01,97.1629,2015,1,0.4,7.17,True
2015-02-01,96.78036,2015,2,-0.39,6.3,True
2015-03-01,97.1629,2015,3,0.4,6.28,True
2015-04-01,97.92796,2015,4,0.79,5.79,False
2015-05-01,98.69302,2015,5,0.78,5.74,False
2015-06-01,99.84061,2015,6,1.16,6.1,True
2015-07-01,100.6057,2015,7,0.77,4.37,False
2015-08-01,100.9882,2015,8,0.38,4.35,False
2015-09-01,101.7533,2015,9,0.76,5.14,False
2015-10-01,102.9009,2015,10,1.13,6.32,True
2015-11-01,103.2834,2015,11,0.37,6.72,True
2015-12-01,102.9009,2015,12,-0.37,6.32,True
2016-01-01,102.9009,2016,1,0.0,5.91,False
2016-02-01,102.1358,2016,2,-0.74,5.53,False
2016-03-01,102.5183,2016,3,0.37,5.51,False
2016-04-01,103.6659,2016,4,1.12,5.86,False
2016-05-01,105.196,2016,5,1.48,6.59,True
2016-06-01,105.9611,2016,6,0.73,6.13,True
2016-07-01,107.1087,2016,7,1.08,6.46,True
